Date,Open,High,Low,Close,Volume,Adj Close
1997-04-21,295.61,295.61,295.61,295.61,000,295.61
1997-04-18,299.06,299.06,299.06,299.06,000,299.06
1997-04-17,295.08,295.08,295.08,295.08,000,295.08
1997-04-16,298.81,298.81,298.81,298.81,000,298.81
1997-04-15,291.41,291.41,291.41,291.41,000,291.41
1997-04-14,286.07,286.07,286.07,286.07,000,286.07
1997-04-11,294.94,294.94,294.94,294.94,000,294.94
1997-04-10,298.24,298.24,298.24,298.24,000,298.24
1997-04-09,303.34,303.34,303.34,303.34,000,303.34
1997-04-08,288.63,288.63,288.63,288.63,000,288.63
1997-04-07,282.23,282.23,282.23,282.23,000,282.23
1997-04-04,286.03,286.03,286.03,286.03,000,286.03
1997-04-03,295.24,295.24,295.24,295.24,000,295.24
1997-04-02,297.83,297.83,297.83,297.83,000,297.83
1997-04-01,298.52,298.52,298.52,298.52,000,298.52
1997-03-31,301.30,301.30,301.30,301.30,000,301.30
1997-03-28,297.46,297.46,297.46,297.46,000,297.46
1997-03-27,298.68,298.68,298.68,298.68,000,298.68
1997-03-26,303.71,303.71,303.71,303.71,000,303.71
1997-03-25,303.33,303.33,303.33,303.33,000,303.33
1997-03-24,310.44,310.44,310.44,310.44,000,310.44
1997-03-21,309.41,309.41,309.41,309.41,000,309.41
1997-03-20,313.35,313.35,313.35,313.35,000,313.35
1997-03-19,320.23,320.23,320.23,320.23,000,320.23
1997-03-18,330.01,330.01,330.01,330.01,000,330.01
1997-03-17,330.38,330.38,330.38,330.38,000,330.38
1997-03-14,329.37,329.37,329.37,329.37,000,329.37
1997-03-13,334.48,334.48,334.48,334.48,000,334.48
1997-03-12,331.64,331.64,331.64,331.64,000,331.64
1997-03-11,327.37,327.37,327.37,327.37,000,327.37
1997-03-10,316.89,316.89,316.89,316.89,000,316.89
1997-03-07,316.89,316.89,316.89,316.89,000,316.89
1997-03-06,314.07,314.07,314.07,314.07,000,314.07
1997-03-05,311.10,311.10,311.10,311.10,000,311.10
1997-03-04,320.33,320.33,320.33,320.33,000,320.33
1997-03-03,322.31,322.31,322.31,322.31,000,322.31
1997-02-28,329.97,329.97,329.97,329.97,000,329.97
1997-02-27,337.38,337.38,337.38,337.38,000,337.38
1997-02-26,326.29,326.29,326.29,326.29,000,326.29
1997-02-25,327.35,327.35,327.35,327.35,000,327.35
1997-02-24,329.48,329.48,329.48,329.48,000,329.48
1997-02-21,331.82,331.82,331.82,331.82,000,331.82
1997-02-20,347.20,347.20,347.20,347.20,000,347.20
1997-02-19,347.11,347.11,347.11,347.11,000,347.11
1997-02-18,329.83,329.83,329.83,329.83,000,329.83
1997-02-17,320.34,320.34,320.34,320.34,000,320.34
1997-02-14,313.50,313.50,313.50,313.50,000,313.50
1997-02-13,310.63,310.63,310.63,310.63,000,310.63
1997-02-12,306.79,306.79,306.79,306.79,000,306.79
1997-02-11,312.60,312.60,312.60,312.60,000,312.60
1997-02-10,304.90,304.90,304.90,304.90,000,304.90
1997-02-07,292.67,292.67,292.67,292.67,000,292.67
1997-02-06,286.47,286.47,286.47,286.47,000,286.47
1997-02-05,280.33,280.33,280.33,280.33,000,280.33
1997-02-04,279.55,279.55,279.55,279.55,000,279.55
1997-02-03,276.79,276.79,276.79,276.79,000,276.79
1997-01-31,274.68,274.68,274.68,274.68,000,274.68
1997-01-30,275.49,275.49,275.49,275.49,000,275.49
1997-01-29,276.70,276.70,276.70,276.70,000,276.70
1997-01-28,268.37,268.37,268.37,268.37,000,268.37
1997-01-27,277.40,277.40,277.40,277.40,000,277.40
1997-01-24,291.98,291.98,291.98,291.98,000,291.98
1997-01-23,288.49,288.49,288.49,288.49,000,288.49
1997-01-22,278.62,278.62,278.62,278.62,000,278.62
1997-01-21,279.11,279.11,279.11,279.11,000,279.11
1997-01-20,262.34,262.34,262.34,262.34,000,262.34
1997-01-17,251.07,251.07,251.07,251.07,000,251.07
1997-01-16,243.31,243.31,243.31,243.31,000,243.31
1997-01-15,243.46,243.46,243.46,243.46,000,243.46
1997-01-14,243.03,243.03,243.03,243.03,000,243.03
1997-01-13,250.55,250.55,250.55,250.55,000,250.55
1997-01-10,247.69,247.69,247.69,247.69,000,247.69
1997-01-09,231.48,231.48,231.48,231.48,000,231.48
1997-01-08,227.73,227.73,227.73,227.73,000,227.73
1997-01-07,219.86,219.86,219.86,219.86,000,219.86
1997-01-06,219.86,219.86,219.86,219.86,000,219.86
1997-01-03,213.38,213.38,213.38,213.38,000,213.38
1997-01-02,193.64,193.64,193.64,193.64,000,193.64
